CROP TYPE,SOIL TYPE,REGION,TEMPERATURE,WEATHER CONDITION,WATER REQUIREMENT,Farmer_Age,Farm_Location,Farm_Size,Crop_Type,Annual_Income,Water_Bill,Fertilizer_Usage
BANANA,DRY,DESERT,10-20,NORMAL,8.75,55,Al-Ahsa,10.18,Wheat,79859,1279.57,369.1
BANANA,DRY,DESERT,10-20,SUNNY,10.25,43,Al-Madinah,1.42,Wheat,111218,3641.52,73.9
BANANA,DRY,DESERT,10-20,WINDY,9.65,55,Jazan,9.75,Tomato,109505,5481.69,379.7
BANANA,DRY,DESERT,10-20,RAINY,0.75,37,Tabuk,2.28,Barley,42859,3494.1,235.2
BANANA,DRY,DESERT,20-30,NORMAL,9.85,28,Al-Ahsa,6.68,Tomato,112899,7853.55,147.4
BANANA,DRY,DESERT,20-30,SUNNY,11.35,44,Al-Madinah,14.09,Dates,69641,9359.77,110.4
BANANA,DRY,DESERT,20-30,WINDY,10.75,37,Jazan,4.73,Dates,101964,6781.55,294.8
BANANA,DRY,DESERT,20-30,RAINY,0.85,57,Hail,2.14,Cucumber,150134,6843.3,133.4
BANANA,DRY,DESERT,30-40,NORMAL,10.75,47,Al-Madinah,2.94,Tomato,91537,2075.73,473.0
BANANA,DRY,DESERT,30-40,SUNNY,12.25,62,Hail,3.96,Barley,91396,6531.07,204.8
BANANA,DRY,DESERT,30-40,WINDY,11.65,35,Riyadh,11.99,Cucumber,91964,1889.83,102.9
BANANA,DRY,DESERT,30-40,RAINY,2.75,39,Qassim,10.95,Tomato,168683,8960.53,422.1
BANANA,DRY,DESERT,40-50,NORMAL,11.75,58,Hail,5.13,Wheat,92357,8037.67,237.3
BANANA,DRY,DESERT,40-50,SUNNY,13.25,62,Qassim,8.9,Barley,194887,7885.24,347.5
BANANA,DRY,DESERT,40-50,WINDY,12.65,48,Qassim,7.86,Dates,120539,4258.9,55.2
BANANA,DRY,DESERT,40-50,RAINY,3.75,62,Riyadh,11.72,Wheat,54521,9615.44,309.3
BANANA,DRY,SEMI ARID,10-20,NORMAL,7.98,45,Riyadh,8.03,Barley,159249,2016.88,468.8
BANANA,DRY,SEMI ARID,10-20,SUNNY,9.4,41,Al-Madinah,7.34,Barley,114490,7573.42,198.3
BANANA,DRY,SEMI ARID,10-20,WINDY,8.8,25,Al-Ahsa,11.53,Wheat,193337,2189.85,413.8
BANANA,DRY,SEMI ARID,10-20,RAINY,0.25,28,Al-Ahsa,9.75,Wheat,150870,1919.69,119.8
BANANA,DRY,SEMI ARID,20-30,NORMAL,8.98,61,Al-Madinah,2.88,Wheat,66023,8712.92,430.8
BANANA,DRY,SEMI ARID,20-30,SUNNY,10.4,50,Hail,11.69,Dates,91355,5689.98,466.5
BANANA,DRY,SEMI ARID,20-30,WINDY,9.7,42,Jazan,11.85,Wheat,81522,8903.65,405.0
BANANA,DRY,SEMI ARID,20-30,RAINY,0.98,41,Qassim,5.36,Barley,182336,1109.36,274.6
BANANA,DRY,SEMI ARID,30-40,NORMAL,9.98,36,Tabuk,3.62,Wheat,57729,6512.42,414.0
BANANA,DRY,SEMI ARID,30-40,SUNNY,11.4,25,Hail,10.56,Barley,138011,7164.19,232.7
BANANA,DRY,SEMI ARID,30-40,WINDY,10.8,53,Riyadh,4.7,Tomato,141960,5137.2,409.3
BANANA,DRY,SEMI ARID,30-40,RAINY,1.98,58,Hail,13.1,Cucumber,65194,6592.01,164.5
BANANA,DRY,SEMI ARID,40-50,NORMAL,10.9,34,Riyadh,1.28,Dates,161990,4235.38,456.7
BANANA,DRY,SEMI ARID,40-50,SUNNY,12.4,52,Jazan,14.92,Cucumber,51862,2385.96,415.2
BANANA,DRY,SEMI ARID,40-50,WINDY,11.8,38,Qassim,11.51,Barley,47058,2229.01,112.3
BANANA,DRY,SEMI ARID,40-50,RAINY,2.7,51,Tabuk,9.4,Cucumber,155673,6242.02,257.3
BANANA,DRY,SEMI HUMID,10-20,NORMAL,6.95,61,Al-Madinah,3.44,Wheat,74713,8001.89,78.3
BANANA,DRY,SEMI HUMID,10-20,SUNNY,8.45,40,Al-Madinah,6.55,Barley,99449,9673.57,191.3
BANANA,DRY,SEMI HUMID,10-20,WINDY,7.8,62,Al-Madinah,3.26,Wheat,108464,3823.77,371.1
BANANA,DRY,SEMI HUMID,10-20,RAINY,0.1,53,Al-Madinah,5.52,Barley,104128,5080.01,105.0
BANANA,DRY,SEMI HUMID,20-30,NORMAL,7.95,56,Jazan,4.26,Wheat,192926,2889.11,392.6
BANANA,DRY,SEMI HUMID,20-30,SUNNY,9.45,56,Riyadh,2.89,Tomato,156939,7324.92,480.7
BANANA,DRY,SEMI HUMID,20-30,WINDY,8.8,34,Al-Ahsa,0.81,Barley,66241,8543.2,149.0
BANANA,DRY,SEMI HUMID,20-30,RAINY,0.5,30,Tabuk,2.01,Barley,189894,5336.83,98.0
BANANA,DRY,SEMI HUMID,30-40,NORMAL,8.95,46,Qassim,4.08,Barley,159663,3984.97,67.8
